Source,Relation,Edge
When op update,HITC Football,{'edge': 'explained'}
Google,smart TVs market Moneycontrol,{'edge': 'faces new'}
available Google Play you,Indian Express,{'edge': 'alternatives available'}
13 Launch We,So Far Gadgets,{'edge': 'Everything'}
Samsung Galaxy S20,3.0 beta GSMArena.com news,{'edge': 'getting'}
Realme 7i,"Rs Pro 11,999",{'edge': 'gizmochina'}
cloud gaming,still Xbox way,{'edge': 'confirms'}
Upcoming Nokia phones,Die Nokiamob,{'edge': 'delayed because'}
now  users,India TV News,{'edge': 'lets'}
Google Pixel 4a,2020 Auto Brightness,{'edge': 'Gadgets'}
Facebook Portal,now India TV News,{'edge': 'Know'}
Bose,Sport Earbuds India,{'edge': 'introduces'}
Bose,Sport India,{'edge': 'announces'}
Asus,128 GB Storage Rs,{'edge': 'News18'}
Asus,128 GB India,{'edge': 'Gets'}
It,News18,{'edge': 'Means'}
Snapdragon,875 Galaxy S21 SamMobile,{'edge': 'power'}
Iconic Nobody,it News18,{'edge': 'Changed'}
4 K projector,market,"{'edge': ""'s""}"
ASUS,3070 TUF GAMING series,{'edge': 'reveals'}
when  passwords,now  you,{'edge': 'GSMArena.com'}
Just Buttons Do TheGamer,Just  What,{'edge': 'Changed'}
you,classic  birthday,{'edge': 'Web'}
OnePlus,OnePlus,{'edge': 'shares'}
old  clip,thanks YouTube algorithm Sportskeeda,{'edge': 'going viral'}
supported  model,Apple privacy changes,{'edge': 'says'}
Apple,own  headphones,{'edge': 'drops'}
Apple,obsolete devices TechSpot,{'edge': 'seeks'}
13 Vivo Here,India TV News,"{'edge': ""'s""}"
