Source Edge,Relation,Destination Edge
When op update,HITC Football,{'edge': 'explained'}
Google,smart TVs market Moneycontrol,{'edge': 'faces new'}
Google,double  standards,{'edge': 'has double'}
available Google Play you,Indian Express,{'edge': 'alternatives available'}
13 Launch We,13 Launch Everything,{'edge': 'Gadgets'}
Samsung Galaxy S20,3.0 beta GSMArena.com news,{'edge': 'getting'}
Realme 7i,"Rs Pro 11,999",{'edge': 'gizmochina'}
cloud gaming,still Xbox way,{'edge': 'confirms'}
Upcoming Nokia phones,Die Nokiamob,{'edge': 'delayed because'}
now  users,India TV News,{'edge': 'lets'}
Google Pixel 4a,2020 Auto Brightness,{'edge': 'Gadgets'}
Facebook Portal,now India TV News,{'edge': 'Know'}
Delhi guy,,{'edge': 'delayed'}
Bose,Sport Earbuds India,{'edge': 'introduces'}
Asus,128 GB Storage Rs,{'edge': 'News18'}
Asus,128 GB India,{'edge': 'Gets'}
Asus,3 ROG India,{'edge': 'introduces new'}
It,News18,{'edge': 'Means'}
Snapdragon,875 Galaxy S21 SamMobile,{'edge': 'power'}
Iconic Nobody,it News18,{'edge': 'Changed'}
4 K projector,market,"{'edge': ""'s""}"
Amazon quiz,,{'edge': 'quiz'}
ASUS,3070 TUF GAMING series,{'edge': 'reveals'}
when  passwords,now  you,{'edge': 'GSMArena.com'}
Just Buttons Do TheGamer,Just  What,{'edge': 'Changed'}
classic  �,classic  birthday,{'edge': 'here�s'}
OnePlus,OnePlus,{'edge': 'shares'}
old  clip,thanks YouTube algorithm Sportskeeda,{'edge': 'going viral'}
supported  model,Apple privacy changes,{'edge': 'says'}
Apple,own  headphones,{'edge': 'drops'}
Apple,obsolete devices TechSpot,{'edge': 'seeks'}
13 Vivo Here,India TV News,"{'edge': ""'s""}"
Assistant�s  voice,easier  disabilities,{'edge': 'Verge'}
Riot�s  Plans,Otherwise Forbes,{'edge': 'Say'}
surprising  move,just Google ZDNet,{'edge': 'scare'}
Instagram,offensive  AI,{'edge': 'hide offensive'}
Instagram,sole  Threads,{'edge': 'Verge'}
smartphone Poco C3,rear  cameras,{'edge': 'Mint'}
6 Onkyo Pricing,"12,999  Gadgets",{'edge': 'Adds'}
Amazfit Bip U,big spec sheet,{'edge': 'teased with'}
8 T Wallpapers,official launch gizmochina,{'edge': 'available for'}
Genshin Impact chests,Genshin Impact,{'edge': 'World'}
best  phones,"10,000 cut India",{'edge': 'make'}
3 release you,early World Republic World,{'edge': 'Gate'}
How Mobile Apps,Surprising Results,{'edge': 'Use'}
2020 Days Launches,Smart Wireless Earbuds,{'edge': 'Include'}
Further Watch Revolve That,Doesn�t Bank News18,{'edge': 'Look'}
F17 Pro quiz,World Republic World,{'edge': 'stand'}
Deferment,30 % guilt,{'edge': 'CEO'}
Galaxy Z Fold,full screen experience gizmochina,{'edge': 'likely'}
500  that,5  camera,{'edge': 'is'}
October iPhone,now  iMore,{'edge': 'needs'}
Sony,costliest  TV,{'edge': 'NewsBytes'}
10 T Pro,October,{'edge': 'confirmed'}
smart  it,October,{'edge': 'is on'}
Mobile Lite Google Play you,Indian Express,{'edge': 'alternatives on'}
these,biggest smartphone India,{'edge': 'claims'}
Five,next gen console,{'edge': 'learned about'}
How Foresight killstreak,COD Warzone Sportskeeda,{'edge': 'works in'}
Redmi TV Soundbar,soon  India,{'edge': 'debut'}
available Google Photos,redesigned Android 9to5Google,{'edge': 'Update'}
you,collaborative photo iOS,{'edge': 'lets'}
Windows,upgrade  experience,{'edge': '10�s new'}
Nokia,10 update GSMArena.com news,{'edge': 'is'}
Where  Gaming,AMD  Ryzen�,{'edge': 'AMD'}
Google Chrome,86 menu icons,{'edge': 'rolls'}
Realme,100W soundbar Android Police,{'edge': 'unveils'}
8 T we,next  �flagship,{'edge': 'rumors'}
new Gmail logo,Creative  Bloq,{'edge': 'leaves'}
YouTube experiments,only Premium subscribers,{'edge': 'available to Premium'}
else Pro we,it,{'edge': 'specs'}
2C  SonicBass,,{'edge': 'GSMArena.com'}
Multiple  Reports,,{'edge': 'PCMag'}
Google Discover,immersive Web Stories,{'edge': 'getting'}
desktop CPU lineup,free reign Notebookcheck.net,{'edge': 'set'}
8 Poco series,busy Xiaomi Notebookcheck.net,{'edge': 'Supposed'}
Bose QC Earbuds,Three India Gadgets,{'edge': 'Launched in'}
how  they,GMail,"{'edge': ""'s""}"
Funny Kaun Quiz,Exciting World Republic World,{'edge': 'Answer'}
just killer feature,,{'edge': 'revealed'}
Fossil Gen 5E,affordable price GSMArena.com news,{'edge': 'bring'}
POCO C3,6.53-inch  display,{'edge': 'brings'}
entire Amazfit specs,official launch gizmochina,{'edge': 'revealed'}
